Artist,Title,Track ID,,https://www.nts.live/shows/drae-da-skimask/episodes/drae-da-skimask-17th-august-2018
Electric Cher ,Leanin Mornin,,,
Emune,Meraki,spotify:track:5rcmTPKQlfvh8O5B7ucRTo,,
Lordapex,Insight Onsight,,,
DJ Akoza,Snap Them Bones,,,
MC Holocaust,Make U,,,
Kloudbug,Drop Top Jag,,,
DJ Smokey,Ridin With Dat Screw,spotify:track:3lBg9JS2vxEWzASGhmSTQs,,
Money Season,Superior,,,
HPSHAWTY ,Hpshawty X Roland Jones - Playa Hataz,,,
DJ Yung Wamp,Blood Wiv My Double Cup,,,
Amestris,Sin,,,
Chris Fresh 808,Trap House Ft 21 Savage,,,
Jason Rich,Beginnings,spotify:track:2I86hyv6EClLPXGEt5LPIj,,
"MC Holocaust, DJ Akoza ",Manic Ego Trip,,,
MC Holocaust,Nobody Like U Holocaust,,,
JACA,Who Are You,spotify:track:5WjOUYlnYXvS3QTnbCmY43,,
Neguim,Hope,,,
Erick DJ,Juizo,,,
Sunson,Encosta,,,
Weird Baile,Ela Topa Tudo,,,
MC Brinquedo,Roca Roca 3,spotify:track:0VQ2ejAaSM57nQ1V6FHGBZ,,
Kloudbug,Holy Ghost,,,
DJ Smokey ,Pouring Red Syrup,spotify:track:4cHlpS2GLggezMQAgxKGfY,,
Stonedogg,Eye Hate Me,,,
Kloudbug,Turkey,,,
Yung Gleesh,Big Gleesh,spotify:track:5fWVkgZOibIqHoUKTvi1iu,,
Sizzle ,Blessing,,,
Ski Mask The Slump God ,Run,spotify:track:7LaLv7r8FLaAhOqKf2N99N,,
DJ Smokey,100 N Da Safe,spotify:track:7f7uoksno0vto1yw1OVPCB,,
Valee ,I Got Whatever,spotify:track:5hQ4hEDftppp4Akv37vdbs,,
DJ Smokey,Promethadene,spotify:track:5HheZzkSGGGmlSG4tkjFDR,,
DOM,Triple Dights,,,
Freddie Dredd,Pure Imagination,spotify:track:4tf9w3QXyW8Fwrdp6FSsAz,,
"MC Holocaust, DJ Akoza ",Playa Type,,,
ISVVC,Smoking On That George Bush,,,
Souderie & Loud Lord,Blastin,spotify:track:4Z3svqyWfjXWDa1IhCUKBY,,
Vonathan,Mac Attack,,,
Freddie Dredd,Oh Darling,spotify:track:6gcopravayFoqn40l3XHu6,,
MC Holocaust,Makin Matters Worse,,,
Lordapex,Up Early,spotify:track:2r4zDihAN3kefKjVOWSKnK,,
DJ Smokey Loud Lord And Soudiere,Triple Kill,,,
DJ Akoza,War Before Civilization,,,
MC HOlocaust,Corrupt From The Get Go,,,
